start	end	text
3383640	3385640	就測量每個人智商的人工智慧的機器
3385640	3387640	那這個機器怎麼做呢
3387640	3389640	那就是
3389640	3391640	大家去
3393640	3395640	就是有一個罩子
3395640	3397640	然後你投身進去
3397640	3401640	然後這個人工智慧就探望說你的智商是多少
3401640	3403640	那機器研發出來之後
3403640	3409640	這個工程師研發長就很高興請董事長來測
3409640	3411640	秘書先測啦
3411640	3413640	秘書投身進去
3413640	3415640	人工智慧這個測IQ的機器就說
3415640	3417640	智商80
3417640	3419640	那秘書人不高興耶
3419640	3421640	我怎麼智商才80
3421640	3423640	好沒關係
3423640	3425640	總經理繼續測
3425640	3427640	智商100
3427640	3429640	總經理還好
3429640	3431640	比秘書還低
3431640	3433640	最後換董事長去測
3433640	3435640	董事長投身進去
3435640	3437640	人工智慧說他智商多少
3437640	3439640	人工智慧說
3439640	3441640	機器說
3441640	3443640	請不要拿石頭來開玩笑
3443640	3445640	好
3445640	3447640	這個董事長生氣了
3447640	3449640	這個機器這麼爛
3449640	3451640	這個AI是真的來講
3451640	3453640	好趕快回去
3453640	3455640	改進
3455640	3457640	經過了半年
3457640	3459640	下一代的IQ測試機就出來了
3459640	3461640	好秘書再先測
3461640	3463640	智商100
3463640	3465640	不錯
3465640	3467640	有接近了
3467640	3469640	然後總經理一測
3469640	3471640	智商100
3471640	3473640	有信心了
3473640	3475640	好董事長也再測一次
3475640	3477640	董事長一聲進氣
3477640	3479640	這機器說
3479640	3481640	請不要拿同樣的石頭
3481640	3483640	來開玩笑
3483640	3485640	完了
3485640	3487640	這個總經理會被砍死
3487640	3489640	研發的任務不成功
3489640	3491640	所以人工智慧
3491640	3493640	也不可以完全信任他
3493640	3495640	那我們人工智慧說
3495640	3497640	一個叫做WIG AI
3497640	3499640	一個叫Strom AI
3499640	3501640	一個叫WIG
3501640	3503640	常常就是比較虛弱
3503640	3505640	功能沒那麼強
3505640	3507640	其實就是現在人工智慧
3507640	3509640	通常我們叫它做WIG AI
3509640	3511640	那所謂Strom AI
3511640	3513640	就代表說這個AI跟人類的智商
3513640	3515640	相當
3515640	3517640	就是跟人類智商一樣
3517640	3519640	好
3519640	3521640	為什麼現在是WIG AI
3521640	3523640	可以說
3523640	3525640	你給他貓和狗的圖片
3525640	3527640	他可以辨識
3527640	3529640	你給他貓的圖片
3529640	3531640	他說這是一隻貓
3531640	3533640	你給他狗的圖片
3533640	3535640	他說這是一隻狗
3535640	3537640	他可以百分之百的正確
3537640	3539640	沒問題
3539640	3541640	但是他為什麼可以回答說
3541640	3543640	這是貓的圖片
3543640	3545640	這是狗的圖片
3545640	3547640	就是因為我們事先
3547640	3549640	有拿一千萬張的貓的圖片
3549640	3551640	給他學習
3551640	3553640	有拿一千萬張的狗的圖片
3553640	3555640	給他學習
3555640	3557640	他可以分辨出
3557640	3559640	你下一次拿一張照片給他的時候
3559640	3561640	他是貓或者是狗
3561640	3563640	但是他根本搞不清楚
3563640	3565640	什麼是貓什麼是狗
3565640	3567640	因為對他來講
3567640	3569640	貓就是那個圖形
3569640	3571640	狗就是那個圖形
3571640	3573640	至於它代表什麼意義不知道
3573640	3575640	那我們人就不一樣了
3575640	3577640	是不是我們知道什麼是貓什麼是狗
3579640	3581640	大家有沒有看過這個電影
3581640	3583640	《模仿遊戲》
3583640	3585640	這個電影沒有看過
3585640	3587640	可以去看一下
3587640	3589640	他是講這個人的故事
3589640	3591640	這個人是演誰呢
3593640	3595640	就是演我們電腦科學家
3595640	3597640	Anne Curie 圖靈的故事
3597640	3599640	那圖靈我們可以說
3599640	3603640	是我們電腦界的祖師
3603640	3607640	就是說他在二次世界大戰的時候的英國人
3607640	3609640	他就是我們
3609640	3611640	研究我們電腦基礎理論的一個先妻
3613640	3615640	一個科學家
3615640	3617640	就講他的故事
3617640	3619640	那當然這部電影也不是講AI
3619640	3621640	只是講說
3621640	3623640	他幫助英國的情報局
3623640	3625640	來破解這個
3625640	3627640	二次世界大戰的時候
3627640	3629640	德國的利
3633640	3635640	那在他們
3635640	3637640	英國五十後回都是亞實戰
3637640	3639640	這是英國五十後
3639640	3641640	有一個遊戲
3641640	3643640	那是什麼呢
3643640	3645640	就是這邊有個連幕
3645640	3647640	就是他們的社交遊戲
3647640	3649640	這邊有個連幕
3649640	3651640	那連幕會被打掉的人
3651640	3653640	一個是男的一個是女的
3653640	3655640	那前面這邊一個人
3655640	3657640	他們就透過筆的交談
3657640	3659640	不要出聲音
3659640	3661640	就是你問他們問題
3661640	3663640	然後他們回答你
3663640	3665640	那你經過了一段時間之後
3665640	3667640	你這邊的這個人
3667640	3669640	是不是可以透過他們回答的內容
3669640	3671640	來判斷說
3671640	3673640	誰是男誰是女
3675640	3677640	就是後面吼的兩個人
3677640	3679640	一個是男一個是女
3679640	3681640	但是你不知道誰是男誰是女
3681640	3683640	你只能透過問他的問題
3683640	3685640	來判斷
3685640	3687640	那當然男生可能會假裝
3687640	3689640	假裝女生來回答你
3689640	3691640	就是假裝女生的回答
3691640	3693640	女生可能假裝男生的回答
3693640	3695640	來混淆你
3695640	3697640	讓你猜不出來
3697640	3699640	這個tuning
3699640	3701640	根據這個遊戲
3701640	3703640	他就想出了一個
3703640	3705640	叫做tuning test
3705640	3707640	測試
3707640	3709640	這測試什麼呢
3709640	3711640	就是這邊同樣的
3711640	3713640	一個人後面走了
3713640	3715640	一個人一個電腦
3715640	3717640	剛剛是男女
3717640	3719640	現在變成電腦跟人
3719640	3721640	那同樣的
3721640	3723640	你C問他們問題
3723640	3725640	他們就回答你
3725640	3727640	好
3727640	3729640	回答經過一段時間之後
3729640	3731640	請問
3731640	3733640	這個C
3733640	3735640	你是不是可以判斷說
3735640	3737640	後面這兩個人哪一個是電腦
3737640	3739640	哪一個是人
3739640	3741640	你看不見吧
3741640	3743640	你只能透過回答來判斷
3743640	3745640	那假如
3745640	3747640	這個C回答不出來
3747640	3749640	這兩個人都是人
3749640	3751640	他們跟我回答對答如流
3751640	3753640	跟人類一樣
3753640	3755640	譬如說這一台電腦
3755640	3757640	通過了tuning test
3757640	3759640	通過了獨臉測試
3759640	3761640	譬如說
3761640	3763640	這個電腦跟人差不多
3763640	3765640	他可以
3765640	3767640	回答你的問題
3767640	3769640	那我們同時說
3769640	3771640	這個電腦
3771640	3773640	算是怎麼樣
3773640	3775640	因為他的回答跟人類一樣
3775640	3777640	人類的智慧
3777640	3779640	對不對
3779640	3781640	那請問現在我們人工
3781640	3783640	AI可不可以通過這個獨臉測試
3783640	3785640	可不可以
3789640	3791640	不知道
3791640	3793640	你可不可以講
3793640	3795640	這邊A換成
3795640	3797640	CHAT的EPT
3797640	3799640	就是我剛剛講的openAI
3799640	3801640	最新的那個
3801640	3803640	那你問他們問題他們都可以回答
3803640	3805640	但是
3805640	3807640	你可不可以判斷說
3807640	3809640	誰是人誰是那個CHAT的EPT
3809640	3811640	加B
3811640	3813640	夠厲害
3813640	3815640	問對問題的話
3815640	3817640	一定可以判斷出來
3817640	3819640	因為畢竟
3819640	3821640	他每次的回答都有一定的
3821640	3823640	pattern一定的固定的模式
3823640	3825640	問久了
3825640	3827640	你就知道他就是這個CHAT的EPT
3829640	3831640	好
3831640	3833640	這就是
3833640	3835640	現在就是tuning
3835640	3837640	所謂的一個電腦具有人工智慧
3837640	3839640	這是一個簡單的測試
3839640	3841640	這是通常具有的智慧
3841640	3843640	那
3843640	3845640	當然講人工智慧在
3845640	3847640	1960年代
3847640	3849640	就已經
3849640	3851640	大家在
3851640	3853640	那時候讓電腦
3853640	3855640	具有人類的智慧
3855640	3857640	EOSAI叫
3857640	3859640	good old fashion
3859640	3861640	good old fashion
3861640	3863640	那時候
3863640	3865640	這就叫
3865640	3867640	MIDR
3867640	3869640	CME
3869640	3871640	卡拉基美容大學
3871640	3873640	史丹佛大學
3873640	3875640	一些人在研究
3875640	3877640	但是研究研究
3877640	3879640	沒有什麼功夫
3879640	3881640	因為我剛剛講那時候電腦速度
3881640	3883640	太慢
3883640	3885640	記憶體也不夠容量也不夠大
3885640	3887640	所以就冷下來
3887640	3889640	好
3889640	3891640	1970年代就新的一波出來
3891640	3893640	大家要記得的話
3893640	3895640	那時候日本提出什麼
3895640	3897640	MGCS
3897640	3899640	第五代電腦
3899640	3901640	第五代電腦
3901640	3903640	系統對不對
3903640	3905640	第五代電腦
3905640	3907640	那時候日本提出這個希望
3907640	3909640	那時候
3909640	3911640	也是說
3911640	3913640	我要讓電腦變成人類的智慧
3913640	3915640	那時候那個名字就叫
3915640	3917640	專家系統
3917640	3919640	就是我電腦就是一個專家
3919640	3921640	會回答你問題
3921640	3923640	但是
3923640	3925640	還是同樣的問題
3925640	3927640	它的專家系統是說
3927640	3929640	事先把這些知識都輸入給它
3929640	3931640	但是天底下
3931640	3933640	知識那麼多
3933640	3935640	你的記憶體容量
3935640	3937640	又小沒辦法包含天底下
3937640	3939640	所有知識
3939640	3941640	所以
3941640	3943640	又不行
3943640	3945640	最後又卡掉
3945640	3947640	就是又慢慢冷下來
3947640	3949640	現在是第三波
3949640	3951640	第三波就透過了所謂機器結形
3953640	3955640	就是它不用前面那些技術
3955640	3957640	用前新的技術
3957640	3959640	它現在正在
3959640	3961640	火紅
3961640	3963640	還在上升當中
3963640	3965640	這是這樣的應用
3967640	3969640	所以我們希望這一波
3969640	3971640	可以持續下去
3971640	3973640	那人工智慧
3973640	3975640	剛剛講在
3975640	3977640	五六十年前就開始研究了
3977640	3979640	它在1980年代
3979640	3981640	IBM
3981640	3983640	它還想研究這個人工智慧
3983640	3985640	所以它去研究了一個叫
3985640	3987640	Deep Blue深藍的電腦
3987640	3989640	它這個電腦的目的是
3989640	3991640	做什麼呢
3991640	3993640	下棋
3993640	3995640	西洋棋
3995640	3997640	其實就是跟我們的
3997640	3999640	象棋差不多
3999640	4001640	就是用電腦
4001640	4003640	跟這個
4003640	4005640	叫做
4005640	4007640	就是全世界的
4007640	4009640	西洋棋冠軍
4009640	4011640	他們在1996年
4011640	4013640	跟1997年
4013640	4015640	比賽兩次
4015640	4017640	第一次比賽世界西洋棋王
4017640	4019640	人類贏電腦
4019640	4021640	然後在1997年
4021640	4023640	再比一次
4023640	4025640	電腦就贏了人
4025640	4027640	就是由始以來
4027640	4029640	後天方第一次
4029640	4031640	電腦下西洋棋
4031640	4033640	打敗世界棋王在1997年
4033640	4035640	這是歷史的照片
4035640	4037640	那這個就是那個棋王
4037640	4039640	那這個是我們台灣人
4043640	4045640	那現在
4045640	4047640	那個電腦
4047640	4049640	這就是這一部電腦
4049640	4051640	下西洋棋的電腦
4051640	4053640	放在這個博物館裡面
4053640	4055640	那我們說
4055640	4057640	在1998年
4057640	4059640	97年
4059640	4061640	電腦就用西洋棋
4061640	4063640	下西洋棋
4063640	4065640	贏了人類的西洋棋冠軍
4065640	4067640	那時候大家想說
4067640	4069640	西洋棋畢竟
4069640	4071640	那個棋子
4071640	4073640	各處有線
4073640	4075640	它下了固
4075640	4077640	雖然很多也是有線
4077640	4079640	那個棋盤下了下去
4079640	4081640	那比西洋棋複雜
4081640	4083640	不知道多少倍的就是圍棋
4083640	4085640	圍棋
4085640	4087640	圍棋的棋盤
4087640	4089640	有沒有
